,Md,NN(1),NE(2),EE(4)
0,0,0,0,0
1,340.5,126.1101744,-0.004719342,126.1188944
2,359.1,126.3006354,-0.000114352,126.3007124
3,368.7,126.3057373,-0.000239985,126.3058443
4,383.3,126.3135038,-0.000672566,126.3132733
5,395,126.3200909,-0.001259783,126.3197749
6,480.5,126.9386371,-0.005513678,126.9327638
7,519.9,127.0271249,-0.004356937,127.0190595
8,557,127.0751436,-0.00189743,127.0687952
9,596.8,127.1314504,0.000163053,127.1281383
10,634.9,127.1846119,0.000538009,127.1842971
11,672.3,127.2371401,0.000164838,127.237884
12,710.7,127.2953957,-0.000616076,127.2950861
13,795,127.9029272,-0.003816356,127.8948489
14,864.5,128.2709461,-0.008998534,128.25413
15,903,128.3484894,-0.01264995,128.3330452
16,979.8,128.7804326,-0.01919639,128.7848524
17,1021.9,128.8745596,-0.021925377,128.8939309
18,1056.9,128.9209529,-0.02023982,128.9539889
19,1095.5,128.9757548,-0.014524164,129.0226842
20,1134.1,129.0351137,-0.006727311,129.090764
21,1172.7,129.0975886,0.001639509,129.1557756
22,1249.8,129.5518958,0.014702367,129.6006243
23,1284.7,129.6245384,0.018060244,129.6613689
24,1353.9,129.9531009,0.023158435,129.9557714
25,1391.4,130.0450536,0.020753742,130.0203402
26,1429.8,130.1078148,0.011010354,130.0822632
27,1468.3,130.1715928,-0.000399916,130.1435064
28,1506.7,130.2397903,-0.012610751,130.2230978
29,1545.1,130.3149937,-0.025469947,130.3108733
30,1583.6,130.3984739,-0.038837194,130.4102432
31,1622.1,130.4886398,-0.052677887,130.5232307
32,1660.5,130.5847421,-0.066983239,130.6494649
33,1698.9,130.6860067,-0.081294792,130.7891488
34,1737.3,130.7930416,-0.095809768,130.9424981
35,1775.8,130.9074876,-0.111405098,131.1102476
36,1814.2,131.0276432,-0.127413885,131.2911648
37,1852.6,131.1548471,-0.14424079,131.4860676
38,1891.1,131.2903496,-0.162924638,131.6955086
39,1929.5,131.4311167,-0.181955294,131.9178591
40,1967.8,131.5767298,-0.20041591,132.153316
41,2006.3,131.7304758,-0.219854662,132.4043688
42,2044.9,131.8913979,-0.240640993,132.6699698
43,2083.6,132.0584142,-0.260772616,132.9505306
44,2094.9,132.0979495,-0.26608537,133.0255109
45,2149.5,132.3860339,-0.292066915,133.492629
46,2187.7,132.5704423,-0.312272939,133.8117559
47,2226.2,132.7554409,-0.33416276,134.139627
48,2264.8,132.9474136,-0.354815926,134.4830806
49,2303.3,133.1436837,-0.3745375,134.8389911
50,2341.9,133.3461416,-0.395433864,135.2092522
51,2380.3,133.5513986,-0.41362146,135.5905404
52,2418.7,133.7596167,-0.42787064,135.9844948
53,2457.3,133.9776569,-0.444684989,136.3955401
54,2495.9,134.2055527,-0.469558198,136.8203682
55,2534.5,134.4413134,-0.500028122,137.2581328
56,2573.2,134.6854939,-0.531661182,137.7116938
57,2611.6,134.9337892,-0.563593056,138.1751861
58,2650.1,135.1892028,-0.59805275,138.6529058
59,2688.6,135.4500704,-0.635147852,139.1430632
60,2727,135.7162846,-0.671608597,139.6461777
61,2765.4,135.9874231,-0.706131244,140.1634881
62,2804.1,136.2658913,-0.739381839,140.699328
63,2842.7,136.5492471,-0.773279648,141.2472354
64,2881.1,136.8356929,-0.807725237,141.8049031
65,2919.5,137.1271112,-0.839806267,142.3765881
66,2958,137.4247646,-0.868380073,142.9644057
67,2996.4,137.7264617,-0.896424083,143.5638111
68,3035.1,138.0365097,-0.927904065,144.1811452
69,3073.5,138.3509658,-0.963053168,144.8065912
70,3111.9,138.6771641,-0.999343199,145.4485819
71,3150.2,139.0095695,-1.031712794,146.1041383
72,3188.5,139.3460877,-1.061976054,146.7729148
73,3227,139.6963433,-1.09819946,147.460707
74,3265.4,140.053806,-1.14485398,148.1574868
75,3303.9,140.4173022,-1.196415886,148.8675425
76,3342.5,140.7879841,-1.238968134,149.5972979
77,3381,141.1638931,-1.275226131,150.3415095
78,3419.5,141.5437875,-1.312295533,151.0981694
79,3460.9,141.9629679,-1.348793696,151.9332268
80,3496.4,142.3215244,-1.380945452,152.654105
81,3534.8,142.7208392,-1.426213295,153.4478302
82,3573.3,143.1256545,-1.487464228,154.2502098
83,3611.6,143.5313816,-1.554217383,155.0577138
84,3650.2,143.9432119,-1.612246032,155.8889744
85,3688.7,144.3604253,-1.667722883,156.7336916
86,3727,144.7832932,-1.722734079,157.588727
87,3765.5,145.2089925,-1.765780686,158.4632962
88,3842.4,146.3819081,-1.821786183,160.5614249
89,3882.4,146.8552051,-1.845026478,161.5337264
90,3918.7,147.224236,-1.879763914,162.4040499
91,3957.9,147.5427786,-1.952965374,163.2842217
92,3996.3,147.757983,-2.040423501,164.0332263
93,4073.2,148.3307817,-2.094844058,165.331356
94,4101,148.3721761,-2.053877824,165.419745
95,4157.7,148.4881431,-2.042420483,165.1773966
96,4196.1,148.5377571,-2.114662004,164.8440066
97,4234.5,148.5816847,-2.200097325,164.4924141
98,4273,148.6376791,-2.316355503,164.1679543
99,4311.3,148.6924166,-2.432063818,163.821675
100,4351.1,148.7443866,-2.536877604,163.4164949
101,4389.4,148.7842268,-2.619667915,162.9897589
102,4426.4,148.8167935,-2.691275608,162.5629277
103,4464.9,148.857979,-2.778006421,162.127259
104,4503.4,148.9018946,-2.870216713,161.689654
105,4518.5,148.9054415,-2.904426251,161.4993097
106,4529.9,148.9017696,-2.927875823,161.3448388
107,4568.6,148.9056206,-2.989650389,160.8100367
108,4592,148.8989285,-3.023539377,160.4717136
109,4617.9,148.8942257,-3.068193846,160.1078732
110,4655.2,148.911664,-3.135191804,159.6162704
111,4693.6,148.9401678,-3.199834783,159.1255979
112,4732.1,148.9732902,-3.264303744,158.6438209
113,4770.5,149.0156491,-3.337406079,158.1839064
114,4776.7,149.0170023,-3.348980069,158.1042076
115,4785,149.0153825,-3.362873737,157.9937783
