MD,TVD,LocalX,LocalY,Inc,Az,Angle,Radians,AxisSize,Cx,Cy,Cz
11012,10813.94,-731.6,373.94,66.46,225.67,0,0,127.790954,127.790954,0,0
11107,10845.18,-794.44,310.04,75.1,225.29,5,0.087266463,131.452275,130.9520594,11.45682066,0
11139,10852.83,-816.12,287.79,77.23,226.19,10,0.174532925,134.4578173,132.4151009,23.34835495,0
11170,10859.38,-837.01,265.84,78.4,226.67,15,0.261799388,136.7620438,132.1019902,35.39662159,0
11202,10864.91,-858.81,243.09,81.67,225.75,20,0.34906585,138.3313694,129.988967,47.31211478,0
11296,10871.54,-924.81,176.61,90.24,224.67,25,0.436332313,139.1435254,126.1068606,58.80459482,0
11391,10870.61,-991.7,109.16,90.88,225.81,30,0.523598776,139.1871693,120.5396245,69.59358466,0
11486,10869.62,-1058.99,42.11,90.32,223.99,35,0.610865238,138.4616951,113.4211806,79.41836566,0
11581,10868.48,-1128.19,-22.96,91.05,222.48,40,0.698131701,136.9772231,104.9306406,88.04726183,0
11676,10865.74,-1198.7,-86.57,92.25,221.63,45,0.785398163,134.7547686,95.28601067,95.28601067,0
11771,10862.48,-1269.93,-149.33,91.69,221.14,50,0.872664626,131.8266081,84.7365103,100.9850406,0
11866,10859.07,-1341.05,-212.23,92.42,221.84,55,0.959931089,128.2368839,73.55365488,105.0455056,0
11960,10856.52,-1410.2,-275.84,90.69,223.38,60,1.047197551,124.0425116,62.0212558,107.4239662,0
12055,10855.43,-1478.92,-341.43,90.63,223.95,65,1.134464014,119.3144791,50.42447777,108.1356415,0
12150,10855.26,-1547.35,-407.32,89.57,223.89,70,1.221730476,114.1396492,39.03805918,107.2561861,0
12245,10855.14,-1614.76,-474.25,90.57,225.69,75,1.308996939,108.6231813,28.11374807,104.9219362,0
12340,10854.73,-1681.34,-542.02,89.93,225.33,80,1.396263402,102.8916486,17.86694728,101.3284933,0
12435,10855.75,-1747.81,-609.88,88.84,225.86,85,1.483529864,97.09676745,8.462540886,96.72728494,0
12530,10858.28,-1814.09,-677.89,88.11,225.61,90,1.570796327,91.41925992,5.60E-15,91.41925992,0
12596,10860.82,-1860.14,-725.1,87.47,225.82,95,1.658062789,86.07153081,-7.501628197,85.74400265,0
12719,10863.93,-1947.78,-811.32,89.64,223.25,100,1.745329252,81.2963983,-14.11697142,80.06132334,0
12814,10862.45,-2017.25,-876.09,92.14,222.73,105,1.832595715,77.3573033,-20.02154337,74.72141711,0
12909,10859.86,-2087.26,-940.25,90.99,222.28,110,1.919862177,74.514705,-25.48553008,70.02091843,0
13005,10856.97,-2157.41,-1005.72,92.45,223.77,115,2.00712864,72.9869054,-30.84559909,66.14860072,0
13100,10853.16,-2226.61,-1070.69,92.15,222.61,120,2.094395102,72.90364124,-36.45182062,63.13640534,0
13195,10850.53,-2297.46,-1133.91,91.02,220.88,125,2.181661565,74.27225587,-42.60081584,60.84027023,0
13289,10848.86,-2368.64,-1195.29,91.02,220.66,130,2.268928028,76.97564134,-49.4789885,58.9667623,0
13384,10847.95,-2440.07,-1257.91,90.08,221.83,135,2.35619449,80.80322613,-57.13650914,57.13650914,0
13434,10847.43,-2477.38,-1291.19,91.11,221.63,140,2.443460953,85.49710179,-65.49457973,54.95647769,0
13531,10844.47,-2548.98,-1356.55,92.39,223.15,145,2.530727415,90.79267931,-74.37300886,52.07654145,0
13626,10842.83,-2617.74,-1422.07,89.59,224.09,150,2.617993878,96.44409949,-83.52304021,48.22204975,0
13720,10842.64,-2685.28,-1487.45,90.63,224.04,155,2.705260341,102.2353368,-92.65668181,43.20652031,0
13816,10843.88,-2754.6,-1553.84,87.89,223.49,160,2.792526803,107.9821721,-101.4700503,36.93207797,0
13910,10846.89,-2822.44,-1618.83,88.45,224.05,165,2.879793266,113.5297912,-109.6613574,29.38367214,0
14006,10848.9,-2891.3,-1685.69,89.15,224.26,170,2.967059728,118.7489691,-116.9449054,20.62054208,0
14100,10851.21,-2958.8,-1751.07,88.03,223.91,175,3.054326191,123.5322904,-123.0622127,10.76654852,0
14195,10854.27,-3027.06,-1817.07,88.28,224.16,180,3.141592654,127.790954,-127.790954,1.57E-14,0
14290,10856.68,-3095.38,-1883.04,88.81,223.84,185,3.228859116,131.452275,-130.9520594,-11.45682066,0
14385,10858.1,-3163.46,-1949.27,89.48,224.58,190,3.316125579,134.4578173,-132.4151009,-23.34835495,0
14480,10858.38,-3230.94,-2016.14,90.18,224.9,195,3.403392041,136.7620438,-132.1019902,-35.39662159,0
14575,10857.76,-3298.31,-2083.12,90.57,224.77,200,3.490658504,138.3313694,-129.988967,-47.31211478,0
14670,10858.36,-3366.07,-2149.69,88.7,224.21,205,3.577924967,139.1435254,-126.1068606,-58.80459482,0
14765,10859.71,-3434.03,-2216.06,89.68,224.44,210,3.665191429,139.1871693,-120.5396245,-69.59358466,0
14860,10861.01,-3502.1,-2282.31,88.75,224,215,3.752457892,138.4616951,-113.4211806,-79.41836566,0
14955,10864.03,-3570.11,-2348.57,87.61,224.51,220,3.839724354,136.9772231,-104.9306406,-88.04726183,0
15050,10867.9,-3637.91,-2415.01,87.72,224.33,225,3.926990817,134.7547686,-95.28601067,-95.28601067,0
15146,10871.41,-3706.66,-2481.92,88.08,224.12,230,4.01425728,131.8266081,-84.7365103,-100.9850406,0
15241,10874.41,-3774.66,-2548.19,88.31,224.4,235,4.101523742,128.2368839,-73.55365488,-105.0455056,0
15336,10876.65,-3842.22,-2614.93,88.98,224.9,240,4.188790205,124.0425116,-62.0212558,-107.4239662,0
15431,10878,-3909.64,-2681.85,89.4,224.68,245,4.276056667,119.3144791,-50.42447777,-108.1356415,0
15526,10877.07,-3977.23,-2748.6,91.72,224.6,250,4.36332313,114.1396492,-39.03805918,-107.2561861,0
15620,10875.02,-4043.92,-2814.81,90.77,224.98,255,4.450589593,108.6231813,-28.11374807,-104.9219362,0
15715,10874.24,-4111.52,-2881.55,90.18,224.29,260,4.537856055,102.8916486,-17.86694728,-101.3284933,0
15810,10873.28,-4179.51,-2947.89,90.97,224.31,265,4.625122518,97.09676745,-8.462540886,-96.72728494,0
15905,10870.1,-4246.57,-3015.09,92.87,225.8,270,4.71238898,91.41925992,-1.68E-14,-91.41925992,0
16000,10864.95,-4312.88,-3082.92,93.34,225.5,275,4.799655443,86.07153081,7.501628197,-85.74400265,0
16094,10860.35,-4378.82,-3149.76,92.28,225.27,280,4.886921906,81.2963983,14.11697142,-80.06132334,0
16189,10858.63,-4446.72,-3216.17,89.79,223.47,285,4.974188368,77.3573033,20.02154337,-74.72141711,0
16284,10859,-4515.94,-3281.22,89.76,222.97,290,5.061454831,74.514705,25.48553008,-70.02091843,0
16379,10859.03,-4585.34,-3346.1,90.21,223.17,295,5.148721293,72.9869054,30.84559909,-66.14860072,0
16474,10858.89,-4655.19,-3410.49,89.96,222.18,300,5.235987756,72.90364124,36.45182062,-63.13640534,0
16568,10857.42,-4723.43,-3475.1,91.83,224.69,305,5.323254219,74.27225587,42.60081584,-60.84027023,0
16663,10854.19,-4791.27,-3541.53,92.06,224.1,310,5.410520681,76.97564134,49.4789885,-58.9667623,0
16758,10853.18,-4860.12,-3606.96,89.17,222.99,315,5.497787144,80.80322613,57.13650914,-57.13650914,0
16853,10854.44,-4929.67,-3671.66,89.31,222.86,320,5.585053606,85.49710179,65.49457973,-54.95647769,0
16948,10855.25,-4999.2,-3736.4,89.71,223.06,325,5.672320069,90.79267931,74.37300886,-52.07654145,0
17043,10855.13,-5068.3,-3801.58,90.43,223.59,330,5.759586532,96.44409949,83.52304021,-48.22204975,0
17138,10853.49,-5136.58,-3867.61,91.55,224.49,335,5.846852994,102.2353368,92.65668181,-43.20652031,0
17233,10851.19,-5204.85,-3933.63,91.22,223.6,340,5.934119457,107.9821721,101.4700503,-36.93207797,0
17327,10848.32,-5272.54,-3998.79,92.28,224.22,345,6.021385919,113.5297912,109.6613574,-29.38367214,0
17423,10845.21,-5341.38,-4065.62,91.44,224.08,350,6.108652382,118.7489691,116.9449054,-20.62054208,0
17518,10844.98,-5409.41,-4131.93,88.84,224.45,355,6.195918845,123.5322904,123.0622127,-10.76654852,0
17612,10846.88,-5476.65,-4197.58,88.84,224.18,360,6.283185307,127.790954,127.790954,-3.13E-14,0
17707,10847.06,-5544.42,-4264.15,90.94,224.79,,,,,,
17802,10843.79,-5611.33,-4331.5,93.01,225.6,,,,,,
17897,10840.01,-5677.91,-4399.16,91.55,225.31,,,,,,
17992,10838.02,-5745.49,-4465.89,90.85,223.97,,,,,,
18087,10836.74,-5813.96,-4531.73,90.69,223.79,,,,,,
18182,10835.58,-5882.97,-4597.01,90.71,223.03,,,,,,
18277,10834.44,-5952.58,-4661.65,90.66,222.72,,,,,,
18372,10833.86,-6022.93,-4725.49,90.04,221.73,,,,,,
18467,10832.82,-6093.1,-4789.51,91.22,223.02,,,,,,
18562,10831.61,-6163.34,-4853.46,90.24,221.62,,,,,,
18657,10830.42,-6233.59,-4917.39,91.19,222.98,,,,,,
18752,10829.68,-6304.15,-4981,89.71,221.09,,,,,,
18846,10829.56,-6374.61,-5043.21,90.43,221.8,,,,,,
18941,10829.66,-6445.55,-5106.39,89.45,221.57,,,,,,
19036,10830.2,-6514.78,-5171.43,89.9,224.86,,,,,,
19130,10829.24,-6580.15,-5238.96,91.27,227,,,,,,
19225,10828.45,-6646.48,-5306.95,89.68,224.41,,,,,,
19320,10826.97,-6712.39,-5375.32,92.11,227.69,,,,,,
19415,10823.42,-6776.62,-5445.23,92.17,227.17,,,,,,
19509,10820.09,-6840.8,-5513.82,91.89,226.63,,,,,,
19604,10818.14,-6907.39,-5581.54,90.46,224.33,,,,,,
19699,10816.75,-6974.98,-5648.28,91.22,224.95,,,,,,
19794,10813.85,-7042.43,-5715.11,92.28,224.52,,,,,,
19889,10810.69,-7110.57,-5781.24,91.53,223.76,,,,,,
19984,10809.66,-7180.55,-5845.46,89.71,221.33,,,,,,
20079,10809.87,-7251.98,-5908.09,90.04,221.15,,,,,,
20174,10808.39,-7322.07,-5972.18,91.75,223.74,,,,,,
20269,10806,-7391.17,-6037.33,91.13,222.89,,,,,,
20364,10804.96,-7462.03,-6100.59,90.13,220.62,,,,,,
20458,10803.9,-7532.86,-6162.38,91.16,221.58,,,,,,
20553,10802.06,-7602.85,-6226.58,91.05,223.48,,,,,,
20648,10800.84,-7671.88,-6291.83,90.43,223.3,,,,,,
20743,10800.17,-7742.06,-6355.86,90.38,221.45,,,,,,
20837,10799.66,-7813.56,-6416.86,90.24,219.49,,,,,,
20932,10800.15,-7887.23,-6476.85,89.17,218.82,,,,,,
21027,10801.03,-7959.42,-6538.57,89.76,222.24,,,,,,
21122,10801.73,-8028.35,-6603.93,89.4,224.71,,,,,,
21217,10803.03,-8096.22,-6670.39,89.03,224.09,,,,,,
21262,10803.53,-8128.26,-6701.98,89.71,225.11,,,,,,
